Date,Open,High,Low,Close,Adj Close,Volume
2021-08-30,56.240002,56.340000,55.119999,55.160000,51.086254,14086100
2021-08-31,54.930000,55.310001,54.459999,54.520000,50.493519,27104100
2021-09-01,54.490002,54.759998,53.599998,53.770000,49.798904,21644100
2021-09-02,54.290001,55.639999,54.270000,55.080002,51.012165,23293300
2021-09-03,55.119999,55.320000,54.599998,54.869999,50.817673,13840000
2021-09-07,54.669998,55.270000,54.470001,54.549999,50.521305,14354400
2021-09-08,54.790001,55.180000,54.009998,54.049999,50.058228,18756700
2021-09-09,53.619999,55.000000,53.299999,54.090000,50.095276,19110800
2021-09-10,55.189999,55.230000,53.950001,53.980000,49.993397,15123700
2021-09-13,54.650002,55.930000,54.619999,55.369999,51.280739,22052300
2021-09-14,55.689999,55.770000,54.410000,54.580002,50.549091,19940300
2021-09-15,55.369999,56.529999,55.310001,56.419998,52.253201,23240900
2021-09-16,56.459999,56.459999,55.500000,55.820000,51.697510,17907200
2021-09-17,55.340000,56.750000,55.099998,55.160000,51.086254,30000400
2021-09-20,53.779999,54.169998,52.959999,53.689999,49.724815,27555100
2021-09-21,54.369999,54.509998,53.250000,53.639999,49.678513,19696800
2021-09-22,54.430000,55.910000,54.369999,55.209999,51.132561,25690600
2021-09-23,55.419998,57.240002,55.279999,57.080002,52.864452,23069400
2021-09-24,56.700001,57.820000,56.680000,57.590000,53.336784,22328600
2021-09-27,58.849998,59.799999,58.820000,59.299999,54.920502,32972200
2021-09-28,59.900002,60.480000,59.509998,59.919998,55.494709,37619300
2021-09-29,59.840000,60.189999,59.049999,59.880001,55.457664,23422800
2021-09-30,60.119999,60.169998,58.810001,58.820000,54.475952,31289600
2021-10-01,59.410000,60.990002,59.410000,60.930000,56.430122,24407300
2021-10-04,61.320000,62.070000,60.950001,61.720001,57.161781,33946700
2021-10-05,62.520000,62.700001,61.020000,61.619999,57.069164,29641600
2021-10-06,60.470001,61.119999,59.750000,60.490002,56.022617,25284900
2021-10-07,60.610001,61.080002,60.139999,60.660000,56.180061,19513600
2021-10-08,61.250000,62.419998,61.250000,62.180000,57.587807,22186900
2021-10-11,63.029999,63.060001,61.500000,61.560001,57.013592,22121500
2021-10-12,61.570000,61.980000,60.849998,61.240002,56.717228,20198600
2021-10-13,60.779999,61.389999,60.209999,61.070000,56.559780,14991700
2021-10-14,61.709999,62.220001,61.169998,62.000000,57.421097,18594500
2021-10-15,62.730000,63.070000,62.439999,62.590000,57.967525,16092600
2021-10-18,63.090000,63.139999,62.270000,62.560001,57.939739,18282800
2021-10-19,62.869999,63.610001,62.669998,63.500000,58.810318,18933200
2021-10-20,62.889999,63.869999,62.720001,63.849998,59.134464,14305200
2021-10-21,63.470001,63.639999,62.349998,62.689999,58.060135,16564600
2021-10-22,62.770000,63.220001,62.349998,63.119999,58.458378,14266800
2021-10-25,63.720001,64.419998,63.580002,64.349998,59.597542,17939800
2021-10-26,64.489998,65.940002,64.360001,65.839996,60.977497,25585100
2021-10-27,65.160004,65.250000,63.980000,64.129997,59.393784,21764500
2021-10-28,63.820000,64.470001,63.630001,64.309998,59.560493,16626400
2021-10-29,65.050003,65.360001,64.330002,64.470001,59.708683,23966300
2021-11-01,65.070000,66.080002,65.019997,65.629997,60.783005,19656400
2021-11-02,65.029999,65.449997,64.660004,64.820000,60.032829,16300000
2021-11-03,64.040001,64.449997,63.660000,63.930000,59.208561,17372800
2021-11-04,64.680000,64.889999,63.830002,64.410004,59.653114,17720100
2021-11-05,65.050003,65.330002,64.559998,65.019997,60.218056,18565100
2021-11-08,65.550003,66.379997,65.379997,65.720001,60.866364,17696000
2021-11-09,65.769997,66.370003,65.309998,66.360001,61.459087,18781300
2021-11-10,65.320000,65.650002,63.770000,64.190002,60.248314,20177200
2021-11-11,64.190002,64.830002,64.019997,64.309998,60.360935,13319300
2021-11-12,63.959999,64.370003,63.580002,63.820000,59.901031,18158900
2021-11-15,63.759998,64.769997,63.220001,64.370003,60.417255,18849200
2021-11-16,64.339996,65.370003,64.339996,65.019997,61.027344,17028700
2021-11-17,64.379997,65.239998,64.180000,64.309998,60.360935,15497000
2021-11-18,64.160004,64.529999,63.110001,63.610001,59.703926,16948200
2021-11-19,61.889999,62.029999,60.410000,60.669998,56.944462,32035500
