Date,Open,High,Low,Close,Adj Close,Volume
2021-08-30,44.270000,44.270000,43.709999,43.759998,42.973381,1854900
2021-08-31,43.889999,44.029999,43.480000,43.970001,43.179607,4187000
2021-09-01,44.360001,44.494999,43.639999,44.380001,43.582241,2518000
2021-09-02,44.439999,45.430000,44.410000,44.919998,44.112530,2817600
2021-09-03,44.810001,45.474998,44.810001,44.919998,44.112530,3472000
2021-09-07,44.619999,44.759998,44.290001,44.330002,43.533142,2455100
2021-09-08,44.340000,44.599998,43.599998,44.139999,43.346550,3013300
2021-09-09,43.919998,44.139999,43.520000,43.580002,42.796619,2703300
2021-09-10,44.119999,44.119999,43.360001,43.419998,42.639492,2061200
2021-09-13,43.599998,43.849998,42.619999,43.139999,42.364525,1907400
2021-09-14,43.360001,43.459999,42.160000,42.259998,41.500347,1787500
2021-09-15,42.299999,43.090000,42.235001,42.970001,42.197582,2177900
2021-09-16,42.900002,42.980000,42.299999,42.580002,41.814590,2711200
2021-09-17,42.450001,42.930000,41.310001,41.869999,41.117355,7032100
2021-09-20,41.000000,41.570000,40.720001,41.490002,40.744194,2506600
2021-09-21,41.669998,41.799999,41.134998,41.400002,40.655811,3350900
2021-09-22,41.880001,42.395000,41.779999,41.939999,41.186100,2126700
2021-09-23,42.200001,42.790001,42.119999,42.410000,41.647648,2644000
2021-09-24,42.250000,42.549999,42.029999,42.310001,41.549450,2311800
2021-09-27,42.369999,43.570000,42.369999,43.459999,42.678772,2967200
2021-09-28,43.580002,44.009998,42.685001,43.040001,42.266327,2988400
2021-09-29,43.180000,43.230000,42.610001,42.860001,42.089565,2024700
2021-09-30,42.900002,43.080002,42.060001,42.080002,41.323582,2433200
2021-10-01,42.349998,43.865002,42.189999,43.500000,42.718056,3540600
2021-10-04,43.599998,43.869999,42.410000,42.549999,41.785133,2853900
2021-10-05,42.689999,43.884998,42.480000,43.459999,42.678772,3173800
2021-10-06,42.849998,43.035000,41.568001,42.000000,41.245022,3050200
2021-10-07,42.470001,43.049999,42.290001,42.490002,41.726215,2005400
2021-10-08,42.759998,43.200001,42.500000,42.779999,42.010998,1402700
2021-10-11,42.930000,43.389999,42.419998,42.459999,41.696754,1257900
2021-10-12,42.209999,42.560001,41.779999,41.950001,41.195923,1609000
2021-10-13,42.320000,42.349998,41.369999,42.240002,41.480705,2374000
2021-10-14,42.590000,43.610001,42.529999,43.369999,42.590397,1530600
2021-10-15,43.680000,43.924999,43.330002,43.509998,42.727879,2226100
2021-10-18,42.424999,43.520000,42.110001,43.279999,42.502010,2104600
2021-10-19,43.509998,43.674999,42.930000,43.630001,42.845718,1418600
2021-10-20,43.549999,44.529999,43.549999,44.130001,43.336731,2084900
2021-10-21,43.830002,44.000000,42.590000,42.709999,41.942261,2653300
2021-10-22,42.750000,43.250000,42.580002,42.750000,41.981537,1875700
2021-10-25,42.990002,43.099998,42.490002,42.520000,41.755672,3361100
2021-10-26,42.650002,42.855000,42.308998,42.709999,41.942261,1656700
2021-10-27,42.459999,42.549999,42.070000,42.110001,41.353043,2147300
2021-10-28,42.189999,43.139999,42.189999,43.040001,42.266327,2593400
2021-10-29,42.910000,43.490002,42.689999,43.150002,42.374352,3683900
2021-11-01,43.169998,43.430000,42.849998,43.009998,42.236862,2651700
2021-11-02,43.049999,43.340000,42.139999,42.840000,42.069920,4306700
2021-11-03,42.619999,45.139999,42.619999,44.810001,44.004509,4392900
2021-11-04,45.500000,47.650002,45.180000,47.400002,46.547955,4465900
2021-11-05,47.680000,48.570000,47.299999,47.599998,46.744354,2727300
2021-11-08,47.910000,48.180000,46.410000,46.540001,45.703411,4538200
2021-11-09,46.619999,48.119999,46.610001,47.849998,46.989861,2541700
2021-11-10,47.450001,48.180000,47.299999,47.680000,46.960320,2025300
2021-11-11,47.610001,48.299999,47.560001,47.689999,46.970161,1397400
2021-11-12,47.900002,48.770000,47.834999,48.700001,47.964920,3811500
2021-11-15,49.064999,49.400002,48.090000,48.369999,47.639900,1790700
2021-11-16,48.869999,49.099998,48.400002,48.430000,47.698994,1645700
2021-11-17,48.230000,48.730000,48.049999,48.349998,47.620205,1533100
2021-11-18,48.580002,49.000000,48.279999,48.669998,47.935375,2404900
2021-11-19,48.330002,48.490002,47.645000,47.810001,47.088348,3253700
2021-11-22,47.950001,48.764999,47.540001,47.549999,46.832279,2710700
2021-11-23,47.700001,47.990002,47.020000,47.900002,47.176998,2005200
2021-11-24,47.540001,47.849998,47.270000,47.570000,46.851974,1291900
2021-11-26,46.200001,47.009998,46.119999,46.830002,46.123146,1306500
2021-11-29,47.294998,47.400002,46.430000,46.590000,45.886768,2080700
2021-11-30,46.299999,46.419998,44.770000,45.000000,44.320766,4761900
2021-12-01,45.779999,46.970001,44.639999,44.660000,43.985897,2598900
2021-12-02,44.980000,46.500000,44.884998,46.189999,45.492805,2705200
2021-12-03,46.250000,47.500000,45.575001,46.040001,45.345070,3760300
2021-12-06,46.639999,47.549999,46.340000,47.099998,46.389065,3202300
2021-12-07,47.680000,48.419998,47.490002,47.750000,47.029259,2661700
2021-12-08,48.090000,48.349998,47.497002,48.110001,47.383823,2712200
2021-12-09,47.799999,48.419998,47.730000,48.029999,47.305031,1983900
2021-12-10,48.400002,48.660000,47.689999,47.959999,47.236092,2242500
2021-12-13,47.599998,47.650002,46.549999,46.630001,45.926167,2268800
2021-12-14,46.540001,47.029999,46.125000,46.310001,45.610996,2425100
2021-12-15,46.259998,46.259998,45.119999,46.090000,45.394318,2913100
2021-12-16,46.439999,47.455002,46.299999,46.980000,46.270882,3363800
2021-12-17,47.139999,47.139999,45.939999,46.080002,45.384472,6903500
2021-12-20,45.680000,45.680000,43.889999,44.759998,44.084393,3372700
2021-12-21,45.270000,46.119999,45.070000,45.820000,45.128391,2223400
2021-12-22,45.849998,46.220001,45.650002,45.930000,45.236736,2940500
2021-12-23,46.020000,46.790001,45.939999,46.439999,45.739029,1923800
2021-12-27,46.389999,47.029999,46.250000,47.009998,46.300430,1310500
2021-12-28,46.939999,47.540001,46.810001,47.380001,46.664845,1616700
2021-12-29,47.209999,47.529999,47.029999,47.349998,46.635292,1160900
2021-12-30,47.500000,47.759998,47.060001,47.119999,46.408768,1192200
2021-12-31,46.939999,47.419998,46.880001,47.279999,46.566353,1457000
2022-01-03,47.400002,47.779999,46.790001,46.900002,46.192089,2071200
2022-01-04,47.110001,48.330002,47.110001,47.770000,47.048958,2529200
2022-01-05,48.020000,48.259998,47.209999,47.240002,46.526962,2498600
2022-01-06,47.540001,48.250000,47.070000,47.900002,47.176998,2685800
2022-01-07,47.900002,48.799999,47.799999,48.419998,47.689144,2463600
2022-01-10,48.299999,48.299999,46.820000,47.389999,46.674690,2145200
2022-01-11,47.509998,48.490002,47.250000,48.410000,47.679298,1867000
2022-01-12,48.970001,49.349998,48.490002,48.860001,48.122505,1988000
2022-01-13,48.820000,49.410000,48.540001,48.900002,48.161907,2107800
2022-01-14,48.320000,48.779999,47.814999,48.599998,47.866425,2039600
2022-01-18,48.139999,48.360001,47.750000,48.139999,47.413372,1877800
2022-01-19,48.430000,48.500000,47.169998,47.220001,46.507256,2530800
2022-01-20,47.500000,47.980000,46.400002,46.540001,45.837524,2191200
2022-01-21,46.169998,46.750000,45.320000,45.439999,44.754128,2360700
2022-01-24,44.700001,46.290001,43.740002,46.070000,45.374622,3365500
2022-01-25,45.040001,46.430000,44.220001,46.049999,45.354919,4314600
2022-01-26,46.439999,47.110001,45.384998,46.009998,45.315521,2986200
2022-01-27,46.480000,47.549999,46.299999,46.840000,46.132996,2506200
2022-01-28,46.759998,47.480000,46.099998,47.459999,46.743633,2271500
2022-01-31,47.439999,48.200001,47.259998,48.080002,47.354279,2573500
2022-02-01,47.950001,48.340000,47.360001,47.930000,47.206539,4429000
2022-02-02,47.869999,48.360001,47.660000,48.130001,47.403522,3597400
2022-02-03,48.040001,49.349998,47.369999,48.529999,47.797482,4054900
2022-02-04,48.250000,50.755001,48.250000,50.250000,49.491528,4931500
2022-02-07,50.349998,50.500000,49.349998,49.549999,48.802090,4646600
2022-02-08,49.650002,50.419998,49.340000,50.369999,49.609711,4336000
2022-02-09,50.849998,51.625000,50.799999,51.540001,50.762054,2901500
2022-02-10,51.299999,52.380001,50.700001,50.950001,50.180962,4628200
2022-02-11,50.930000,51.740002,50.470001,51.049999,50.279446,3194800
2022-02-14,51.200001,51.549999,50.369999,50.900002,50.131714,5552300
2022-02-15,50.439999,51.130001,50.200001,50.889999,50.121861,4652900
2022-02-16,51.279999,51.900002,50.900002,51.459999,50.683262,3283700
2022-02-17,50.855000,51.580002,50.459999,51.270000,50.496128,2920200
2022-02-18,51.490002,51.810001,50.480000,50.700001,49.934734,2670100
2022-02-22,50.720001,51.240002,50.250000,50.669998,49.905182,2923700
2022-02-23,50.990002,51.509998,50.310001,50.419998,49.658955,3330800
2022-02-24,49.599998,50.154999,49.009998,50.049999,49.294544,3156900
2022-02-25,50.290001,51.860001,50.180000,51.840000,51.057529,3414300
2022-02-28,51.009998,52.060001,50.650002,52.029999,51.383427,4551900
2022-03-01,52.119999,52.360001,50.020000,50.369999,49.744053,3091100
2022-03-02,50.830002,51.810001,50.740002,51.299999,50.662495,4594300
2022-03-03,51.650002,51.770000,50.924999,51.520000,50.879761,3877000
2022-03-04,51.040001,51.529999,50.119999,51.480000,50.840256,5847100
2022-03-07,51.889999,54.020000,51.099998,51.220001,50.583488,8059100
2022-03-08,51.060001,51.740002,49.560001,50.080002,49.457657,5231200
2022-03-09,50.410000,51.930000,50.220001,51.529999,50.889633,4827300
2022-03-10,51.049999,53.689999,51.049999,53.590000,52.924038,4712500
2022-03-11,53.840000,55.040001,53.359001,53.650002,52.983292,4039100
2022-03-14,53.939999,54.799999,53.209999,54.209999,53.536331,4971100
2022-03-15,54.119999,55.439999,53.869999,54.990002,54.306641,5530400
2022-03-16,55.490002,56.099998,53.939999,54.759998,54.079502,5367600
2022-03-17,54.410000,55.965000,54.400002,55.790001,55.096699,4400000
2022-03-18,55.799999,55.980000,55.040001,55.849998,55.155956,11274700
2022-03-21,56.189999,56.980000,55.584999,56.950001,56.242287,5814000
2022-03-22,57.250000,57.340000,56.290001,56.480000,55.778122,5106500
2022-03-23,57.169998,57.730000,56.450001,57.410000,56.696564,3902500
2022-03-24,57.650002,58.740002,57.619999,58.490002,57.763149,4758800
2022-03-25,58.520000,59.810001,58.520000,59.790001,59.046993,4670200
2022-03-28,59.340000,59.580002,58.599998,59.029999,58.296436,3276600
2022-03-29,57.849998,58.119999,56.250000,58.029999,57.308865,4215100
2022-03-30,58.529999,59.090000,57.990002,58.369999,57.644634,3440100
2022-03-31,58.040001,58.939999,57.360001,57.480000,56.765697,4327800
2022-04-01,57.910000,58.450001,57.639999,58.290001,57.565632,2430900
2022-04-04,58.330002,58.880001,57.345001,58.669998,57.940903,2356800
2022-04-05,58.799999,59.139999,58.040001,58.279999,57.555759,3220000
2022-04-06,58.200001,58.740002,57.869999,58.049999,57.328613,2868800
2022-04-07,58.220001,58.750000,57.915001,58.490002,57.763149,2321800
2022-04-08,59.200001,60.310001,58.860001,59.639999,58.898849,2478900
2022-04-11,59.750000,60.070000,59.349998,59.750000,59.007484,2487700
2022-04-12,59.840000,60.730000,59.610001,60.630001,59.876553,2813000
2022-04-13,60.840000,61.209999,60.110001,60.950001,60.192574,2193500
2022-04-14,61.330002,61.740002,60.880001,61.009998,60.251831,3714400
2022-04-18,61.029999,61.500000,60.720001,60.950001,60.192574,3289700
2022-04-19,61.349998,61.830002,60.639999,61.139999,60.380211,3865400
2022-04-20,61.560001,61.884998,60.410000,61.320000,60.557976,4258500
2022-04-21,61.880001,62.040001,60.099998,60.209999,59.461773,3942200
2022-04-22,59.840000,60.169998,57.189999,57.680000,56.963211,4987500
2022-04-25,56.889999,57.529999,55.779999,57.299999,56.587936,4215500
2022-04-26,57.240002,57.770000,56.500000,56.630001,55.926266,4118800
2022-04-27,56.930000,57.910000,56.490002,57.220001,56.508926,4522700
2022-04-28,57.709999,58.055000,56.865002,57.820000,57.101471,4599700
2022-04-29,58.070000,58.889999,57.570000,57.689999,56.973083,6933100
2022-05-02,57.770000,58.000000,56.150002,57.340000,56.627438,5231600
2022-05-03,57.410000,57.580002,56.500000,57.259998,56.548428,5304900
2022-05-04,57.520000,59.215000,57.049999,59.139999,58.405067,5025300
2022-05-05,56.349998,59.599998,56.330002,58.040001,57.318741,6842900
2022-05-06,57.139999,57.270000,54.830002,55.740002,55.047325,5236400
2022-05-09,55.035000,55.035000,52.950001,53.080002,52.420380,5314400
2022-05-10,54.250000,54.380001,52.264000,52.820000,52.163609,4323300
2022-05-11,52.799999,54.480000,52.540001,53.599998,52.933910,3899600
2022-05-12,53.029999,54.060001,52.680000,54.049999,53.518105,3748600
2022-05-13,54.480000,55.935001,54.400002,55.470001,54.924137,3881300
2022-05-16,55.410000,57.180000,55.279999,56.540001,55.983608,3620700
2022-05-17,57.279999,57.919998,56.669998,57.610001,57.043076,4238000
2022-05-18,57.035999,58.299999,56.860001,57.090000,56.528194,4319300
2022-05-19,56.480000,59.076000,56.430000,59.000000,58.419399,6912300
2022-05-20,59.470001,59.779999,58.040001,59.230000,58.647129,9441900
2022-05-23,59.849998,61.174999,59.192001,60.910000,60.310596,4956300
2022-05-24,60.660000,62.195000,60.250000,62.090000,61.478989,5808300
2022-05-25,61.669998,62.459999,61.395000,62.009998,61.399773,5374200
2022-05-26,62.520000,64.029999,62.450001,63.169998,62.548355,5745200
2022-05-27,62.939999,63.115002,61.220001,62.910000,62.290916,6501900
2022-05-31,62.980000,63.970001,62.360001,62.619999,62.003773,12551200
2022-06-01,63.009998,63.270000,61.800999,62.330002,61.716629,4259100
2022-06-02,62.720001,63.020000,62.060001,62.540001,61.924561,4820200
2022-06-03,62.500000,62.700001,61.740002,62.000000,61.389874,3425000
2022-06-06,62.200001,62.415001,61.380001,61.720001,61.112629,2699300
2022-06-07,61.349998,62.529999,61.310001,62.380001,61.766136,3560000
2022-06-08,61.860001,62.400002,61.320000,62.000000,61.389874,3734400
2022-06-09,61.470001,61.650002,60.860001,61.080002,60.478928,4500600
2022-06-10,60.160000,60.314999,57.970001,57.980000,57.409428,3551200
2022-06-13,56.619999,57.189999,55.779999,56.240002,55.686558,3721400
2022-06-14,56.240002,56.740002,55.869999,56.389999,55.835079,4443200
2022-06-15,56.869999,57.209999,54.900002,55.529999,54.983547,4482700
2022-06-16,54.599998,54.730000,53.680000,54.040001,53.508205,4880000
2022-06-17,54.119999,54.529999,52.660000,53.220001,52.696278,12994200
2022-06-21,54.459999,55.619999,53.930000,55.369999,54.825119,3590200
2022-06-22,53.709999,54.660000,53.419998,53.430000,52.904213,4488400
2022-06-23,53.250000,53.540001,50.755001,50.930000,50.428814,5882000
2022-06-24,51.430000,53.599998,51.215000,53.560001,53.032932,8329500
2022-06-27,53.709999,54.320000,53.080002,54.240002,53.706242,4769100
2022-06-28,54.889999,55.720001,53.900002,54.270000,53.735947,4755300
2022-06-29,54.490002,54.950001,53.978001,54.529999,53.993385,3208200
2022-06-30,53.900002,54.740002,53.570000,54.139999,53.607220,3588100
2022-07-01,53.619999,54.439999,52.660000,54.119999,53.587414,2130500
2022-07-05,52.790001,53.040001,51.259998,52.099998,51.587296,4655000
2022-07-06,52.130001,52.360001,50.500000,52.040001,51.527885,3851300
2022-07-07,53.490002,53.599998,52.759998,52.849998,52.329914,3879700
2022-07-08,53.080002,53.220001,52.090000,52.730000,52.211098,2554800
2022-07-11,52.160000,52.980000,52.014999,52.910000,52.389324,2249700
2022-07-12,52.630001,53.500000,52.169998,52.560001,52.042770,2713300
2022-07-13,51.869999,52.410000,51.625999,51.970001,51.458576,1675200
2022-07-14,51.320000,51.869999,50.029999,51.490002,50.983303,3560400
2022-07-15,52.310001,52.490002,51.620998,52.000000,51.488281,2589600
2022-07-18,52.560001,53.040001,52.009998,52.240002,51.725918,1867500
2022-07-19,52.680000,54.220001,52.610001,53.740002,53.211163,2273100
2022-07-20,53.410000,54.270000,53.375000,54.020000,53.488407,1679300
2022-07-21,53.619999,53.910000,52.830002,53.880001,53.349781,1482300
2022-07-22,54.049999,54.520000,53.580002,54.009998,53.478500,1971600
2022-07-25,54.619999,55.605000,54.180000,55.470001,54.924137,2643000
2022-07-26,55.650002,56.020000,55.049999,55.459999,54.914230,1692200
2022-07-27,55.910000,56.895000,54.970001,56.610001,56.052917,2248500
2022-07-28,56.805000,57.247002,56.270000,56.959999,56.399471,2293400
2022-07-29,57.430000,58.040001,57.230000,57.549999,56.983665,2338900
2022-08-01,57.000000,57.529999,56.340000,56.900002,56.340061,2621600
2022-08-02,56.840000,56.939999,55.689999,55.740002,55.191479,3025200
2022-08-03,56.099998,56.099998,55.560001,55.700001,55.151871,3164600
2022-08-04,55.590000,55.750000,54.680000,55.220001,54.676594,3218800
2022-08-05,56.970001,58.410000,56.740002,57.900002,57.330223,5728000
2022-08-08,59.310001,60.689999,59.020000,59.090000,58.508511,4055600
2022-08-09,59.130001,60.139999,59.130001,59.720001,59.132313,3022100
2022-08-10,60.709999,60.945000,59.770000,60.090000,59.498672,2604500
2022-08-11,60.490002,61.049999,60.134998,60.270000,59.826241,1985300
2022-08-12,60.470001,61.770000,60.139999,61.759998,61.305267,2744000
2022-08-15,60.860001,61.830002,60.470001,61.610001,61.156376,3836200
2022-08-16,61.639999,62.320000,61.639999,62.099998,61.642765,2523100
2022-08-17,61.500000,61.900002,61.209999,61.869999,61.414459,1747600
2022-08-18,62.290001,62.810001,62.119999,62.369999,61.910778,1980500
2022-08-19,62.049999,62.185001,61.130001,61.330002,60.878437,2232200
2022-08-22,60.730000,61.340000,60.599998,61.040001,60.590572,1912800
2022-08-23,61.230000,61.970001,61.230000,61.770000,61.315197,1952700
2022-08-24,61.900002,62.470001,61.230000,61.900002,61.444241,2307200
2022-08-25,62.410000,63.345001,62.180000,63.240002,62.774376,2522400
2022-08-26,63.480000,63.765999,62.279999,62.320000,61.861141,1889200
2022-08-29,61.599998,62.470001,61.349998,61.910000,61.454166,1803200
2022-08-30,61.580002,61.869999,60.709999,61.770000,61.315197,2539200
2022-08-31,61.740002,62.209999,61.180000,61.430000,60.977699,3710500
2022-09-01,60.779999,60.930000,59.950001,60.810001,60.362267,2468400
2022-09-02,61.560001,62.209999,61.000000,61.240002,60.789101,2644100
2022-09-06,61.610001,61.750000,60.029999,60.320000,59.875870,2303200
2022-09-07,59.884998,61.990002,59.779999,61.820000,61.364822,2058800
2022-09-08,61.369999,62.130001,61.099998,62.040001,61.583206,2873500
2022-09-09,62.590000,62.980000,61.794998,62.520000,62.059673,2021200
2022-09-12,62.869999,62.869999,61.290001,62.110001,61.652691,4922200
2022-09-13,61.060001,63.830002,61.009998,62.650002,62.188717,4939200
2022-09-14,63.029999,64.300003,62.759998,63.810001,63.340176,5006500
2022-09-15,63.810001,63.980000,61.965000,62.119999,61.662617,5786400
2022-09-16,61.230000,61.599998,60.380001,61.349998,60.898285,7511800
2022-09-19,60.500000,61.660000,60.500000,61.419998,60.967770,2386800
2022-09-20,60.840000,61.570000,60.230000,61.400002,60.947922,2707100
2022-09-21,62.220001,62.220001,59.200001,59.230000,58.793896,3101500
2022-09-22,59.549999,60.590000,59.549999,59.759998,59.319996,3170800
2022-09-23,58.779999,58.810001,57.091000,57.919998,57.493542,2686800
2022-09-26,57.880001,58.967999,57.514999,57.610001,57.185822,3941600
2022-09-27,58.250000,58.580002,56.900002,57.259998,56.838402,2357400
2022-09-28,57.490002,58.695000,57.169998,58.380001,57.950157,3517500
2022-09-29,57.849998,58.080002,56.590000,57.209999,56.788769,2431000
2022-09-30,56.939999,58.000000,56.389999,57.150002,56.729210,3688200
2022-10-03,58.480000,59.474998,57.895000,59.180000,58.744267,3680100
2022-10-04,59.980000,61.820000,59.919998,61.759998,61.305267,3986600
